tahun,wilayah,produksi_pertahun,curah_hujan,tingkat_kesuburan_tanah,harga,permintaan_pasar,luas_lahan_hektar,tingkat_konsumsi_perkapita_perkg
2022,Kabupaten Halmahera Tengah,1726,rendah,5,6703,sedang,34,132
2023,Kabupaten Pulau Morotai,2137,tinggi,9,4953,sedang,92,299
2019,Kabupaten Pulau Morotai,1232,sedang,7,13876,rendah,67,127
2019,Kabupaten Halmahera Barat,2395,tinggi,3,9428,sedang,32,209
2023,Kabupaten Pulau Taliabu,2236,sedang,10,6407,tinggi,22,168
2023,Kabupaten Halmahera Timur,3010,rendah,7,6093,tinggi,97,194
2021,Kabupaten Halmahera Selatan,2261,sedang,4,9480,sedang,94,240
2023,Kabupaten Halmahera Selatan,2010,sedang,10,6208,sedang,22,173
2022,Kabupaten Halmahera Timur,1551,tinggi,4,13114,rendah,73,181
2019,Kabupaten Halmahera Selatan,2349,tinggi,2,4610,rendah,29,211
2020,Kabupaten Pulau Taliabu,2996,sedang,10,4355,rendah,66,86
2021,Kabupaten Kepulauan Sula,4105,tinggi,10,8287,rendah,2,243
2021,Kabupaten Pulau Morotai,1962,rendah,5,14268,rendah,51,99
2024,Kabupaten Pulau Taliabu,4734,rendah,7,7723,sedang,69,237
2023,Kota Ternate,2277,sedang,5,14805,tinggi,30,108
2021,Kabupaten Halmahera Selatan,3205,rendah,9,11361,rendah,6,66
2020,Kota Ternate,801,rendah,8,12139,tinggi,96,200
2022,Kabupaten Pulau Taliabu,918,sedang,7,6722,sedang,20,135
2024,Kabupaten Halmahera Tengah,631,rendah,3,12706,tinggi,80,262
2022,Kota Ternate,2268,tinggi,5,9317,sedang,34,279
2023,Kabupaten Halmahera Barat,3825,rendah,1,13651,sedang,25,292
2019,Kabupaten Pulau Morotai,776,tinggi,1,6342,rendah,48,130
2021,Kabupaten Halmahera Tengah,4976,rendah,9,7725,rendah,46,158
2024,Kabupaten Kepulauan Sula,3126,sedang,3,10118,tinggi,98,93
2023,Kabupaten Pulau Taliabu,1781,tinggi,1,11012,rendah,80,259
2022,Kabupaten Pulau Morotai,2262,tinggi,7,5346,rendah,66,182
2024,Kabupaten Halmahera Selatan,2199,tinggi,3,11596,tinggi,18,290
2019,Kabupaten Halmahera Timur,4028,rendah,1,14205,rendah,8,121
2020,Kabupaten Pulau Morotai,1775,tinggi,7,7001,tinggi,31,168
2023,Kabupaten Halmahera Timur,2379,tinggi,2,5800,rendah,37,148
2023,Kabupaten Halmahera Tengah,1436,sedang,8,9418,rendah,25,231
2020,Kabupaten Kepulauan Sula,2960,rendah,10,8265,sedang,65,228
2024,Kabupaten Halmahera Tengah,1392,tinggi,4,9828,sedang,59,247
2019,Kota Tidore Kepulauan,2378,sedang,2,10618,rendah,89,171
2022,Kabupaten Halmahera Barat,4685,tinggi,1,11169,sedang,2,234
2022,Kota Ternate,4541,rendah,3,11619,sedang,16,115
2020,Kabupaten Kepulauan Sula,3882,sedang,7,5900,rendah,67,155
2022,Kota Ternate,4766,tinggi,2,9145,sedang,96,211
2024,Kabupaten Halmahera Timur,2332,sedang,1,9338,tinggi,25,259
2023,Kabupaten Halmahera Selatan,3286,tinggi,1,8528,tinggi,20,191
2022,Kota Tidore Kepulauan,2252,rendah,2,6959,rendah,69,299
2021,Kabupaten Halmahera Tengah,1114,sedang,6,13882,rendah,7,64
2024,Kota Ternate,1727,rendah,2,4310,tinggi,83,122
2019,Kabupaten Halmahera Timur,2795,rendah,4,4284,tinggi,95,118
2022,Kabupaten Pulau Taliabu,2432,sedang,7,5007,sedang,1,92
2019,Kabupaten Pulau Taliabu,2480,tinggi,6,7397,rendah,92,159
2024,Kabupaten Kepulauan Sula,1551,rendah,6,8799,tinggi,31,120
2023,Kabupaten Halmahera Barat,4888,tinggi,8,9558,sedang,44,284
2023,Kota Tidore Kepulauan,1720,sedang,9,4110,tinggi,75,210
2021,Kota Tidore Kepulauan,4576,rendah,2,13779,sedang,55,104
2021,Kabupaten Pulau Morotai,1398,sedang,10,4497,rendah,14,181
2020,Kabupaten Pulau Taliabu,2935,rendah,4,10752,rendah,3,223
2020,Kabupaten Halmahera Utara,566,sedang,1,6488,rendah,67,216
2021,Kabupaten Kepulauan Sula,2706,tinggi,7,7900,sedang,28,127
2024,Kabupaten Halmahera Timur,1168,rendah,10,8135,sedang,11,263
2023,Kabupaten Halmahera Utara,946,tinggi,2,9420,sedang,75,248
2020,Kabupaten Halmahera Tengah,4515,tinggi,6,13895,sedang,97,199
2023,Kabupaten Pulau Taliabu,2512,rendah,1,6103,rendah,37,69
2020,Kabupaten Pulau Taliabu,3271,rendah,1,14449,sedang,28,65
2023,Kabupaten Halmahera Utara,4268,rendah,6,6681,tinggi,65,90
2020,Kabupaten Halmahera Tengah,3802,tinggi,8,13133,sedang,5,221
2023,Kabupaten Halmahera Selatan,1440,tinggi,9,9129,rendah,20,258
2019,Kabupaten Halmahera Timur,4901,tinggi,6,5613,tinggi,12,175
2020,Kabupaten Halmahera Timur,3534,rendah,7,5495,sedang,54,50
2021,Kota Ternate,2698,sedang,6,13672,tinggi,99,190
2019,Kabupaten Halmahera Utara,4575,sedang,7,8667,rendah,7,136
2020,Kabupaten Halmahera Selatan,1781,tinggi,1,14772,rendah,69,221
2021,Kabupaten Halmahera Selatan,1684,rendah,10,9167,rendah,10,296
2021,Kabupaten Halmahera Tengah,3174,rendah,4,7869,tinggi,83,198
2019,Kabupaten Halmahera Utara,3793,rendah,3,5941,tinggi,31,71
2019,Kabupaten Pulau Morotai,3227,rendah,5,4466,rendah,82,158
2023,Kota Tidore Kepulauan,2783,tinggi,2,4340,rendah,67,103
2024,Kabupaten Halmahera Barat,4811,tinggi,4,5429,sedang,19,114
2022,Kabupaten Halmahera Timur,4537,sedang,4,9711,tinggi,6,247
2023,Kabupaten Halmahera Timur,1403,rendah,9,4965,tinggi,20,107
2024,Kabupaten Pulau Taliabu,4871,tinggi,7,12874,rendah,3,209
2023,Kabupaten Halmahera Selatan,3467,rendah,3,13668,rendah,38,251
2020,Kabupaten Pulau Morotai,3370,tinggi,5,7347,tinggi,4,90
2020,Kabupaten Halmahera Selatan,3856,tinggi,5,10893,sedang,68,193
2023,Kota Tidore Kepulauan,3837,sedang,10,7937,sedang,30,166
2022,Kabupaten Halmahera Barat,2228,tinggi,2,7052,sedang,38,129
2023,Kota Ternate,1259,tinggi,5,13033,sedang,81,220
2021,Kabupaten Pulau Taliabu,1818,rendah,8,10630,rendah,56,77
2023,Kota Ternate,1370,tinggi,10,6294,tinggi,50,219
2024,Kabupaten Pulau Taliabu,4441,sedang,10,8817,rendah,14,153
2019,Kabupaten Halmahera Selatan,825,tinggi,8,10587,tinggi,37,63
2022,Kabupaten Pulau Taliabu,1895,tinggi,10,10580,rendah,74,123
2023,Kota Tidore Kepulauan,3915,rendah,9,4925,rendah,100,108
2022,Kota Ternate,1436,sedang,7,4755,rendah,38,238
2020,Kota Ternate,1254,rendah,2,4092,sedang,19,242
2019,Kabupaten Halmahera Timur,1269,sedang,7,5092,tinggi,27,188
2023,Kabupaten Halmahera Tengah,4431,tinggi,5,8531,tinggi,38,254
2023,Kabupaten Halmahera Utara,2009,sedang,3,7714,rendah,57,63
2019,Kabupaten Pulau Taliabu,2461,rendah,9,9013,sedang,62,65
2021,Kota Tidore Kepulauan,3935,sedang,9,12781,tinggi,20,285
2024,Kabupaten Pulau Taliabu,804,rendah,10,4067,tinggi,100,196
2021,Kabupaten Halmahera Timur,2894,sedang,1,4831,tinggi,90,223
2019,Kabupaten Halmahera Tengah,4949,rendah,3,8567,sedang,23,142
2021,Kabupaten Kepulauan Sula,4690,sedang,3,10519,rendah,49,167
2022,Kota Ternate,4701,rendah,6,5203,tinggi,41,235
2022,Kabupaten Halmahera Barat,2214,sedang,2,9759,tinggi,12,151
2019,Kabupaten Kepulauan Sula,4904,tinggi,7,10514,sedang,11,189
2023,Kabupaten Pulau Morotai,3006,sedang,8,8001,sedang,30,91
2020,Kota Tidore Kepulauan,696,tinggi,5,5786,sedang,44,162
2024,Kabupaten Halmahera Tengah,605,rendah,3,11911,rendah,36,107
2022,Kabupaten Pulau Morotai,3350,tinggi,4,11370,sedang,5,232
2022,Kabupaten Pulau Taliabu,3154,sedang,10,14093,rendah,92,266
2020,Kota Ternate,976,sedang,6,6892,tinggi,78,102
2024,Kota Tidore Kepulauan,1634,rendah,7,10410,rendah,4,131
2024,Kabupaten Halmahera Timur,4501,rendah,10,14937,rendah,83,238
2022,Kota Ternate,4398,sedang,5,14611,tinggi,72,77
2019,Kabupaten Kepulauan Sula,1302,rendah,3,13148,rendah,36,141
