tahun,wilayah,produksi_pertahun,curah_hujan,tingkat_kesuburan_tanah,harga,permintaan_pasar,luas_lahan_hektar,tingkat_konsumsi_perkapita_perkg
2019,Kabupaten Pulau Morotai,1023,rendah,3,60293,rendah,96,7
2022,Kabupaten Pulau Morotai,3240,rendah,3,149977,tinggi,48,4
2024,Kabupaten Halmahera Tengah,2619,rendah,2,105860,rendah,70,1
2022,Kabupaten Pulau Taliabu,2253,rendah,4,112507,tinggi,100,3
2024,Kabupaten Pulau Taliabu,1389,sedang,2,107134,rendah,59,5
2019,Kabupaten Halmahera Timur,782,tinggi,1,52100,sedang,2,3
2019,Kabupaten Halmahera Selatan,1235,rendah,4,111997,sedang,65,7
2019,Kabupaten Pulau Taliabu,2595,sedang,3,78172,sedang,83,9
2020,Kabupaten Pulau Morotai,455,tinggi,2,70132,tinggi,10,6
2024,Kabupaten Pulau Taliabu,1370,tinggi,3,68199,tinggi,53,1
2020,Kabupaten Pulau Morotai,2258,sedang,3,86609,rendah,79,7
2020,Kabupaten Halmahera Utara,2801,sedang,1,92965,rendah,59,3
2023,Kabupaten Halmahera Tengah,2548,rendah,4,58016,sedang,48,5
2022,Kabupaten Halmahera Tengah,1983,tinggi,1,89779,tinggi,149,4
2022,Kabupaten Halmahera Selatan,423,tinggi,1,81881,rendah,123,5
2021,Kabupaten Pulau Taliabu,2348,sedang,1,132594,tinggi,22,5
2020,Kabupaten Pulau Taliabu,1267,tinggi,3,74472,tinggi,100,6
2024,Kabupaten Kepulauan Sula,1154,rendah,1,101813,sedang,98,6
2023,Kabupaten Halmahera Barat,939,tinggi,1,86021,sedang,25,8
2023,Kabupaten Halmahera Utara,2538,sedang,4,104131,tinggi,28,8
2022,Kabupaten Halmahera Tengah,1902,sedang,4,74087,tinggi,113,9
2020,Kabupaten Halmahera Utara,2863,rendah,1,62828,tinggi,45,8
2021,Kabupaten Halmahera Tengah,741,rendah,4,111610,tinggi,68,2
2020,Kabupaten Halmahera Utara,2244,tinggi,4,146664,sedang,7,1
2019,Kabupaten Halmahera Timur,2138,tinggi,1,51401,rendah,49,2
2020,Kabupaten Pulau Morotai,2129,sedang,3,135179,sedang,137,2
2019,Kabupaten Halmahera Tengah,2490,rendah,1,65193,rendah,83,3
2019,Kabupaten Halmahera Utara,3562,rendah,4,142389,tinggi,129,7
2021,Kabupaten Pulau Taliabu,832,rendah,3,94864,rendah,138,2
2024,Kabupaten Halmahera Barat,2574,tinggi,2,70307,sedang,73,1
2022,Kabupaten Halmahera Timur,1636,rendah,3,69611,sedang,46,6
2020,Kabupaten Halmahera Timur,1248,sedang,4,93791,tinggi,106,9
2019,Kabupaten Halmahera Barat,3673,sedang,3,61950,sedang,32,3
2020,Kabupaten Halmahera Utara,2319,tinggi,1,126240,tinggi,6,6
2024,Kabupaten Pulau Taliabu,759,tinggi,2,127403,sedang,145,3
2022,Kabupaten Halmahera Selatan,3772,rendah,2,52745,sedang,74,1
2024,Kabupaten Halmahera Barat,850,tinggi,2,105243,tinggi,114,5
2022,Kabupaten Halmahera Utara,692,sedang,4,53866,rendah,27,4
2023,Kabupaten Halmahera Barat,2087,rendah,4,82245,sedang,54,7
2022,Kabupaten Halmahera Barat,1144,sedang,2,94724,rendah,85,6
2021,Kabupaten Halmahera Tengah,3578,rendah,3,121354,sedang,127,7
2024,Kabupaten Halmahera Utara,2557,tinggi,2,101374,sedang,111,5
2019,Kabupaten Halmahera Selatan,1438,rendah,3,80116,sedang,15,4
2023,Kabupaten Pulau Morotai,945,rendah,3,131029,sedang,132,7
2021,Kabupaten Halmahera Tengah,3622,sedang,4,143574,rendah,93,7
2020,Kabupaten Halmahera Barat,2566,sedang,3,70447,rendah,123,6
2024,Kabupaten Pulau Morotai,2754,rendah,2,80431,sedang,73,8
2019,Kabupaten Kepulauan Sula,1766,tinggi,4,67908,sedang,147,4
2022,Kabupaten Pulau Morotai,3974,tinggi,1,79336,rendah,92,5
2019,Kabupaten Halmahera Barat,1677,sedang,1,90992,tinggi,17,4
2020,Kabupaten Halmahera Barat,3235,tinggi,4,105350,tinggi,43,1
2023,Kabupaten Pulau Taliabu,2905,sedang,2,119561,rendah,121,8
2023,Kabupaten Halmahera Utara,2897,tinggi,1,101955,sedang,41,1
2024,Kabupaten Halmahera Utara,441,rendah,1,111240,sedang,39,5
2023,Kabupaten Halmahera Tengah,2959,sedang,3,70093,tinggi,113,6
2024,Kabupaten Halmahera Selatan,800,sedang,3,56155,tinggi,111,6
2024,Kabupaten Halmahera Tengah,1139,rendah,2,96607,rendah,47,5
2024,Kabupaten Halmahera Timur,3049,sedang,4,83487,tinggi,63,3
2022,Kabupaten Halmahera Barat,3918,tinggi,2,105668,rendah,110,5
2021,Kabupaten Pulau Morotai,1982,tinggi,4,70963,tinggi,69,8
2024,Kabupaten Kepulauan Sula,1865,sedang,1,100124,tinggi,43,2
2024,Kabupaten Halmahera Barat,2346,tinggi,3,102870,tinggi,34,6
2021,Kabupaten Halmahera Barat,1830,sedang,2,106547,sedang,40,9
2019,Kabupaten Halmahera Tengah,895,rendah,2,114110,sedang,61,8
2024,Kabupaten Kepulauan Sula,2204,sedang,4,103554,sedang,62,8
2022,Kabupaten Kepulauan Sula,580,rendah,4,70936,tinggi,58,8
2023,Kabupaten Kepulauan Sula,723,tinggi,2,54426,rendah,75,7
2023,Kabupaten Halmahera Tengah,3203,rendah,4,138839,rendah,16,8
2020,Kabupaten Halmahera Barat,569,tinggi,2,77606,rendah,82,6
2020,Kabupaten Halmahera Tengah,453,sedang,2,97832,rendah,94,2
2023,Kabupaten Halmahera Utara,2961,tinggi,2,78151,sedang,48,2
2023,Kabupaten Halmahera Utara,2050,sedang,1,129303,sedang,138,8
2022,Kabupaten Halmahera Tengah,961,sedang,4,61308,tinggi,82,1
2021,Kabupaten Kepulauan Sula,2267,rendah,3,112522,tinggi,38,6
2020,Kabupaten Pulau Taliabu,382,rendah,3,95671,rendah,127,6
2021,Kabupaten Halmahera Barat,3993,rendah,4,140306,sedang,19,4
2022,Kabupaten Halmahera Tengah,3294,rendah,2,144108,rendah,63,3
2023,Kabupaten Halmahera Tengah,3246,tinggi,3,52204,tinggi,77,3
2024,Kabupaten Halmahera Tengah,1749,tinggi,3,142769,tinggi,131,1
2021,Kabupaten Pulau Taliabu,1598,tinggi,4,137265,rendah,102,3
2023,Kabupaten Pulau Taliabu,2631,sedang,3,81131,tinggi,65,4
2023,Kabupaten Halmahera Timur,1279,tinggi,2,102428,rendah,120,5
2019,Kabupaten Halmahera Utara,2520,tinggi,4,83870,sedang,91,3
2021,Kabupaten Pulau Morotai,3698,tinggi,2,99067,rendah,8,6
2024,Kabupaten Kepulauan Sula,3434,rendah,3,108585,sedang,73,5
2021,Kabupaten Halmahera Selatan,3444,tinggi,3,71607,sedang,134,3
2023,Kabupaten Pulau Taliabu,3110,sedang,2,74968,tinggi,107,6
2024,Kabupaten Pulau Morotai,1959,rendah,1,148934,tinggi,89,6
2022,Kabupaten Pulau Taliabu,1698,sedang,3,61908,tinggi,39,8
2019,Kabupaten Kepulauan Sula,932,tinggi,1,76423,rendah,113,2
2023,Kabupaten Halmahera Selatan,1831,rendah,3,124707,rendah,28,1
2020,Kabupaten Halmahera Timur,1086,sedang,1,128257,tinggi,97,4
2020,Kabupaten Halmahera Tengah,3290,tinggi,1,111215,rendah,37,7
2019,Kabupaten Halmahera Timur,3359,sedang,1,105835,tinggi,137,3
2022,Kabupaten Pulau Taliabu,697,sedang,2,99429,rendah,82,3
2023,Kabupaten Halmahera Timur,1443,sedang,1,132152,sedang,56,5
2021,Kabupaten Pulau Morotai,1233,tinggi,1,88458,sedang,85,5
2019,Kabupaten Halmahera Barat,1760,tinggi,1,96169,tinggi,2,3
2022,Kabupaten Pulau Taliabu,2152,sedang,3,57659,rendah,58,9
2021,Kabupaten Pulau Taliabu,3023,rendah,1,110614,rendah,107,4
2020,Kabupaten Pulau Morotai,3283,rendah,3,127240,sedang,123,3
2020,Kabupaten Halmahera Utara,2812,tinggi,1,82793,sedang,114,2
2021,Kabupaten Halmahera Selatan,585,tinggi,1,96473,tinggi,107,9
2019,Kabupaten Halmahera Tengah,564,tinggi,2,146762,sedang,37,4
2020,Kabupaten Pulau Morotai,2667,tinggi,3,139388,tinggi,79,3
2023,Kabupaten Halmahera Selatan,3020,tinggi,1,147618,sedang,92,7
2024,Kabupaten Kepulauan Sula,3747,rendah,3,138330,sedang,18,8
2021,Kabupaten Halmahera Selatan,3167,tinggi,3,105751,rendah,98,2
